"cdCliente","Cliente","CanalAtendimento","cdCidade"
"48401","Cliente 678","RESTAURANTE","71"
"48410","Cliente 2105","BARES TRADICIONAIS","71"
"48412","Cliente 9058","SM DE 10 A 19 CHECK-OUT","88"
"48419","Cliente 1332","SM DE 05 A 09 CHECK-OUT","38"
"48421","Cliente 6141","SM DE 05 A 09 CHECK-OUT","38"
"48431","Cliente 9791","BARES TRADICIONAIS","128"
"48435","Cliente 5773","AGROPECUARIA/CACA E PESCA","137"
"48441","Cliente 7128","RESTAURANTE","137"
"48443","Cliente 1230","CONFEITARIA/PANIFICADORA","52"
"48445","Cliente 9134","ACOUGUE/VERDUREIRA","104"
"48452","Cliente 3606","MERCEARIA","38"
"48457","Cliente 10196","CONFEITARIA/PANIFICADORA","128"
"48461","Cliente 1538","CONFEITARIA/PANIFICADORA","71"
"48467","Cliente 9767","BARES TRADICIONAIS","88"
"48474","Cliente 166","SM DE 02 A 04 CHECK-OUT","106"
"48492","Cliente 7021","SM DE 02 A 04 CHECK-OUT","38"
"48494","Cliente 2071","SM DE 05 A 09 CHECK-OUT","137"
"48497","Cliente 9324","SM DE 05 A 09 CHECK-OUT","70"
"48503","Cliente 6349","SM DE 10 A 19 CHECK-OUT","81"
"48505","Cliente 6025","BARES TRADICIONAIS","81"
"48507","Cliente 6068","SM DE 05 A 09 CHECK-OUT","143"
"48511","Cliente 4386","MERCEARIA","71"
"48515","Cliente 3318","SM DE 10 A 19 CHECK-OUT","81"
"48539","Cliente 5742","MERCEARIA","81"
"48551","Cliente 2683","CONFEITARIA/PANIFICADORA","45"
"48561","Cliente 2176","SM DE 10 A 19 CHECK-OUT","81"
"48563","Cliente 8209","SM DE 05 A 09 CHECK-OUT","81"
"48565","Cliente 9151","SM DE 10 A 19 CHECK-OUT","81"
"48568","Cliente 10965","SM DE 05 A 09 CHECK-OUT","48"
"48569","Cliente 8384","SM DE 02 A 04 CHECK-OUT","48"
"48589","Cliente 7353","MERCEARIA","136"
"48596","Cliente 9804","SM DE 02 A 04 CHECK-OUT","52"
"48598","Cliente 3241","HOTEL/MOTEL","136"
"48601","Cliente 2542","SM DE 05 A 09 CHECK-OUT","104"
"48614","Cliente 4418","SM DE 02 A 04 CHECK-OUT","52"
"48618","Cliente 11008","CONFEITARIA/PANIFICADORA","33"
"48626","Cliente 4923","SM DE 02 A 04 CHECK-OUT","52"
"48628","Cliente 7908","SM DE 02 A 04 CHECK-OUT","38"
"48629","Cliente 539","SM DE 02 A 04 CHECK-OUT","61"
"48635","Cliente 5070","SM DE 02 A 04 CHECK-OUT","160"
"48648","Cliente 9348","SM DE 02 A 04 CHECK-OUT","160"
"48656","Cliente 4761","MERCEARIA","160"
"48670","Cliente 8447","RESTAURANTE","66"
"48725","Cliente 4727","SM ACIMA DE 20 CHECK-OUT","25"
"48727","Cliente 2552","BARES TRADICIONAIS","99"
"48733","Cliente 10326","SM DE 02 A 04 CHECK-OUT","108"
"48752","Cliente 7003","SM DE 02 A 04 CHECK-OUT","52"
"48787","Cliente 257","CONFEITARIA/PANIFICADORA","17"
"48795","Cliente 4559","SM DE 05 A 09 CHECK-OUT","25"
"48796","Cliente 3091","SM DE 10 A 19 CHECK-OUT","25"
"48811","Cliente 1922","CONFEITARIA/PANIFICADORA","47"
"48812","Cliente 1926","SM DE 02 A 04 CHECK-OUT","63"
"48883","Cliente 4645","CONVENIENCIA","17"
"48884","Cliente 3408","MERCEARIA","125"
"48890","Cliente 5028","BOMBONIERE/BAZAR","79"
"48899","Cliente 1707","SM DE 02 A 04 CHECK-OUT","62"
"48901","Cliente 9118","MERCEARIA","131"
"48903","Cliente 3039","SM DE 02 A 04 CHECK-OUT","125"
"48904","Cliente 4779","SM DE 02 A 04 CHECK-OUT","79"
"48929","Cliente 3863","SM DE 02 A 04 CHECK-OUT","23"
"48931","Cliente 10211","CONFEITARIA/PANIFICADORA","25"
"48938","Cliente 3904","SM DE 02 A 04 CHECK-OUT","52"
"48951","Cliente 9330","SM DE 10 A 19 CHECK-OUT","126"
"48953","Cliente 139","BARES TRADICIONAIS","152"
"48957","Cliente 1623","CONFEITARIA/PANIFICADORA","152"
"48969","Cliente 8085","SM DE 02 A 04 CHECK-OUT","125"
"48977","Cliente 2397","SM DE 02 A 04 CHECK-OUT","77"
"48982","Cliente 6100","SM DE 02 A 04 CHECK-OUT","8"
"48986","Cliente 147","SM DE 10 A 19 CHECK-OUT","125"
"48990","Cliente 8712","MERCEARIA","61"
"48991","Cliente 8737","FARMACIA/DROGARIA","38"
"49003","Cliente 10620","BOMBONIERE/BAZAR","47"
"49022","Cliente 6921","MERCEARIA","77"
"49024","Cliente 3667","RESTAURANTE","56"
"49028","Cliente 10990","MERCEARIA","77"
"49029","Cliente 7842","SM DE 02 A 04 CHECK-OUT","88"
"49030","Cliente 549","SM DE 02 A 04 CHECK-OUT","79"
"49051","Cliente 3352","MERCEARIA","29"
"49053","Cliente 10641","MERCEARIA","130"
"49055","Cliente 580","SM DE 02 A 04 CHECK-OUT","63"
"49058","Cliente 6244","MERCEARIA","61"
"49078","Cliente 6594","SM DE 02 A 04 CHECK-OUT","79"
"49090","Cliente 381","SM DE 02 A 04 CHECK-OUT","79"
"49096","Cliente 8135","SM DE 02 A 04 CHECK-OUT","25"
"49106","Cliente 189","SM DE 02 A 04 CHECK-OUT","25"
"49124","Cliente 9130","SM DE 02 A 04 CHECK-OUT","79"
"49130","Cliente 4774","MERCEARIA","25"
"49155","Cliente 1519","MERCEARIA","71"
"49157","Cliente 9011","MERCEARIA","160"
"49163","Cliente 9273","BARES TRADICIONAIS","25"
"49172","Cliente 2050","CONFEITARIA/PANIFICADORA","71"
"49174","Cliente 9391","SM DE 05 A 09 CHECK-OUT","137"
"49190","Cliente 1708","CONVENIENCIA","62"
"49200","Cliente 885","MERCEARIA","76"
"49201","Cliente 6266","SM DE 02 A 04 CHECK-OUT","118"
"49207","Cliente 8696","SM DE 02 A 04 CHECK-OUT","99"
"49211","Cliente 4145","RESTAURANTE","36"
"49217","Cliente 10471","SM DE 02 A 04 CHECK-OUT","96"
"49228","Cliente 4742","MERCEARIA","71"
"49236","Cliente 8152","CONFEITARIA/PANIFICADORA","25"
"49259","Cliente 10116","SM DE 05 A 09 CHECK-OUT","104"
"49260","Cliente 3139","SM DE 02 A 04 CHECK-OUT","71"
"49265","Cliente 5984","CONFEITARIA/PANIFICADORA","164"
"49271","Cliente 6469","MERCEARIA","33"
"49276","Cliente 3239","BARES TRADICIONAIS","127"
"49280","Cliente 7250","SM DE 10 A 19 CHECK-OUT","144"
"49302","Cliente 1700","MERCEARIA","46"
"49313","Cliente 6136","SM DE 02 A 04 CHECK-OUT","47"
"49317","Cliente 9235","SM DE 02 A 04 CHECK-OUT","145"
"49319","Cliente 10382","SM DE 02 A 04 CHECK-OUT","71"
"49325","Cliente 7862","SM DE 02 A 04 CHECK-OUT","127"
"49331","Cliente 110","MERCEARIA","160"
"49346","Cliente 10351","MERCEARIA","153"
"49348","Cliente 6670","BOMBONIERE/BAZAR","137"
"49350","Cliente 151","SM DE 02 A 04 CHECK-OUT","79"
"49354","Cliente 9308","SM DE 02 A 04 CHECK-OUT","29"
"49355","Cliente 1923","MERCEARIA","79"
"49361","Cliente 8653","SM DE 02 A 04 CHECK-OUT","90"
"49364","Cliente 4653","SM DE 02 A 04 CHECK-OUT","81"
"49371","Cliente 271","SM ACIMA DE 20 CHECK-OUT","25"
"49376","Cliente 8711","CONFEITARIA/PANIFICADORA","71"
"49380","Cliente 1966","SM DE 02 A 04 CHECK-OUT","79"
"49382","Cliente 8388","SM DE 02 A 04 CHECK-OUT","77"
"49387","Cliente 10766","SM DE 02 A 04 CHECK-OUT","139"
"49391","Cliente 3940","MERCEARIA","25"
"49393","Cliente 6324","RESTAURANTE","25"
"49395","Cliente 1024","SM DE 02 A 04 CHECK-OUT","114"
"49399","Cliente 11104","BARES TRADICIONAIS","56"
"49411","Cliente 8973","SM DE 02 A 04 CHECK-OUT","91"
"49413","Cliente 1840","MERCEARIA","33"
"49417","Cliente 4661","SM DE 02 A 04 CHECK-OUT","77"
"49419","Cliente 10333","SM DE 05 A 09 CHECK-OUT","104"
"49425","Cliente 10478","MERCEARIA","81"
"49441","Cliente 1791","MERCEARIA","161"
"49446","Cliente 7656","ACOUGUE/VERDUREIRA","75"
"49448","Cliente 3326","SM DE 02 A 04 CHECK-OUT","33"
"49454","Cliente 8094","SM DE 02 A 04 CHECK-OUT","108"
"49455","Cliente 4002","MERCEARIA","71"
"49457","Cliente 9137","SM DE 02 A 04 CHECK-OUT","71"
"49485","Cliente 1624","SM DE 02 A 04 CHECK-OUT","71"
"49497","Cliente 7521","CONVENIENCIA","79"
"49504","Cliente 5904","CONFEITARIA/PANIFICADORA","79"
"49512","Cliente 5974","SM DE 02 A 04 CHECK-OUT","79"
"49516","Cliente 10169","RESTAURANTE","17"
"49522","Cliente 10405","MERCEARIA","130"
"49541","Cliente 9212","SM DE 02 A 04 CHECK-OUT","47"
"49597","Cliente 1614","CONFEITARIA/PANIFICADORA","33"
"49606","Cliente 2930","SM DE 02 A 04 CHECK-OUT","45"
"49613","Cliente 467","CONFEITARIA/PANIFICADORA","81"
"49623","Cliente 11128","BARES TRADICIONAIS","150"
"49624","Cliente 8736","SM DE 02 A 04 CHECK-OUT","20"
"49631","Cliente 10942","SM DE 02 A 04 CHECK-OUT","25"
"49633","Cliente 126","SM DE 02 A 04 CHECK-OUT","104"
"49656","Cliente 5539","SM DE 02 A 04 CHECK-OUT","31"
"49659","Cliente 1510","SM DE 02 A 04 CHECK-OUT","164"
"49668","Cliente 4172","CONFEITARIA/PANIFICADORA","24"
"49671","Cliente 5861","SM DE 02 A 04 CHECK-OUT","79"
"49674","Cliente 4456","SM DE 05 A 09 CHECK-OUT","79"
"49693","Cliente 5014","AGROPECUARIA/CACA E PESCA","71"
"49701","Cliente 1772","CONFEITARIA/PANIFICADORA","81"
"49712","Cliente 4515","SM DE 02 A 04 CHECK-OUT","79"
"49723","Cliente 4770","SM DE 02 A 04 CHECK-OUT","64"
"49747","Cliente 3345","MERCEARIA","25"
"49749","Cliente 512","SM DE 02 A 04 CHECK-OUT","25"
"49755","Cliente 10907","SM DE 02 A 04 CHECK-OUT","167"
"49757","Cliente 5664","MERCEARIA","33"
"49763","Cliente 2178","RESTAURANTE","106"
"49766","Cliente 10316","MERCEARIA","127"
"49768","Cliente 8329","SM DE 02 A 04 CHECK-OUT","59"
"49776","Cliente 1654","SM DE 02 A 04 CHECK-OUT","79"
"49777","Cliente 9189","CONFEITARIA/PANIFICADORA","79"
"49782","Cliente 7487","SM DE 02 A 04 CHECK-OUT","119"
"49794","Cliente 364","SM DE 02 A 04 CHECK-OUT","25"
"49796","Cliente 7553","SM DE 02 A 04 CHECK-OUT","99"
"49798","Cliente 7343","SM DE 02 A 04 CHECK-OUT","66"
"49799","Cliente 5877","SM DE 02 A 04 CHECK-OUT","79"
"49809","Cliente 10470","SM DE 02 A 04 CHECK-OUT","144"
"49820","Cliente 5875","MERCEARIA","153"
"49828","Cliente 1981","SM DE 02 A 04 CHECK-OUT","71"
"49837","Cliente 270","MERCEARIA","114"
"49856","Cliente 6550","CONFEITARIA/PANIFICADORA","79"
"49862","Cliente 1586","SM DE 02 A 04 CHECK-OUT","79"
"49864","Cliente 523","SM DE 05 A 09 CHECK-OUT","98"
"49875","Cliente 5831","SM DE 05 A 09 CHECK-OUT","52"
"49876","Cliente 10542","CONVENIENCIA","110"
"49882","Cliente 758","SM DE 02 A 04 CHECK-OUT","1"
"49901","Cliente 128","MERCEARIA","81"
"49909","Cliente 3701","SM DE 02 A 04 CHECK-OUT","144"
"49913","Cliente 5838","ACOUGUE/VERDUREIRA","79"
"49929","Cliente 11315","SM DE 02 A 04 CHECK-OUT","24"
"49935","Cliente 5866","SM DE 02 A 04 CHECK-OUT","71"
"49956","Cliente 7930","SM DE 02 A 04 CHECK-OUT","59"
"49957","Cliente 9167","SM DE 02 A 04 CHECK-OUT","101"
"49963","Cliente 9749","SM DE 02 A 04 CHECK-OUT","100"
"49971","Cliente 9507","SM DE 05 A 09 CHECK-OUT","152"
"49976","Cliente 9077","CONFEITARIA/PANIFICADORA","92"
"49987","Cliente 10475","SM DE 02 A 04 CHECK-OUT","33"
"49988","Cliente 10254","MERCEARIA","153"
"49995","Cliente 1673","CONFEITARIA/PANIFICADORA","79"
"49996","Cliente 225","SM DE 02 A 04 CHECK-OUT","71"
"50006","Cliente 5823","SM DE 02 A 04 CHECK-OUT","115"
"50010","Cliente 10477","SM DE 02 A 04 CHECK-OUT","79"
"50019","Cliente 1323","SM DE 05 A 09 CHECK-OUT","144"
"50051","Cliente 2181","CONVENIENCIA","151"
"50064","Cliente 1043","MERCEARIA","160"
"50080","Cliente 3910","BARES TRADICIONAIS","52"
"50109","Cliente 1572","SM DE 02 A 04 CHECK-OUT","79"
"50120","Cliente 1404","SM DE 10 A 19 CHECK-OUT","136"
"50121","Cliente 38","SM ACIMA DE 20 CHECK-OUT","25"
"50128","Cliente 4535","SM DE 10 A 19 CHECK-OUT","63"
"50153","Cliente 45","SM DE 02 A 04 CHECK-OUT","79"
"50159","Cliente 8758","SM DE 02 A 04 CHECK-OUT","38"
"50174","Cliente 1812","MERCEARIA","52"
"50187","Cliente 4850","SM DE 05 A 09 CHECK-OUT","20"
"50209","Cliente 4568","BARES TRADICIONAIS","47"
"50219","Cliente 7303","SM DE 02 A 04 CHECK-OUT","21"
"50231","Cliente 1524","MERCEARIA","47"
"50235","Cliente 10297","LIVRARIA/PAPELARIA","114"
"50249","Cliente 1266","BARES TRADICIONAIS","33"
"50261","Cliente 6395","BARES TRADICIONAIS","79"
"50264","Cliente 1703","CONFEITARIA/PANIFICADORA","81"
"50271","Cliente 2869","SM DE 02 A 04 CHECK-OUT","71"
"50275","Cliente 13","SM DE 02 A 04 CHECK-OUT","52"
"50307","Cliente 9483","CONFEITARIA/PANIFICADORA","72"
"50308","Cliente 8092","CONFEITARIA/PANIFICADORA","99"
"50325","Cliente 1822","RESTAURANTE","118"
"50327","Cliente 5612","SM DE 10 A 19 CHECK-OUT","38"
"50338","Cliente 40","SM ACIMA DE 20 CHECK-OUT","62"
"50346","Cliente 8448","CONFEITARIA/PANIFICADORA","160"
"50353","Cliente 6359","RESTAURANTE","160"
"50356","Cliente 9062","CONFEITARIA/PANIFICADORA","33"
"50370","Cliente 7317","BARES TRADICIONAIS","53"
"50375","Cliente 9352","RESTAURANTE","98"
"50383","Cliente 5164","SM DE 02 A 04 CHECK-OUT","74"
"50393","Cliente 4832","SM DE 02 A 04 CHECK-OUT","76"
"50394","Cliente 10966","CONFEITARIA/PANIFICADORA","38"
"50397","Cliente 6518","CONFEITARIA/PANIFICADORA","79"
"50408","Cliente 7550","MERCEARIA","61"
"50411","Cliente 4755","SM ACIMA DE 20 CHECK-OUT","25"
"50413","Cliente 2484","BARES TRADICIONAIS","128"
"50415","Cliente 6111","ACOUGUE/VERDUREIRA","77"
"50420","Cliente 9690","SM DE 02 A 04 CHECK-OUT","52"
"50437","Cliente 3753","SM DE 02 A 04 CHECK-OUT","77"
"50438","Cliente 1496","CONFEITARIA/PANIFICADORA","31"
"50440","Cliente 6474","CONVENIENCIA","108"
"50446","Cliente 3278","CONFEITARIA/PANIFICADORA","33"
"50452","Cliente 7668","CONFEITARIA/PANIFICADORA","144"
"50457","Cliente 1746","SM DE 02 A 04 CHECK-OUT","79"
"50467","Cliente 10343","SM DE 02 A 04 CHECK-OUT","144"
"50471","Cliente 10420","SM DE 02 A 04 CHECK-OUT","104"
"50498","Cliente 7633","SM DE 02 A 04 CHECK-OUT","25"
"50500","Cliente 8045","MERCEARIA","50"
"50502","Cliente 3261","SM DE 05 A 09 CHECK-OUT","47"
"50521","Cliente 9603","MERCEARIA","76"
"50537","Cliente 7840","SM DE 02 A 04 CHECK-OUT","10"
"50544","Cliente 3450","SM DE 02 A 04 CHECK-OUT","84"
"50548","Cliente 9416","SM DE 10 A 19 CHECK-OUT","86"
"50552","Cliente 146","MERCEARIA","136"
"50557","Cliente 4469","SM DE 02 A 04 CHECK-OUT","50"
"50572","Cliente 3009","MERCEARIA","25"
"50586","Cliente 5863","SM DE 02 A 04 CHECK-OUT","52"
"50590","Cliente 3709","CLUBE/CANTINA","125"
"50599","Cliente 509","SM DE 02 A 04 CHECK-OUT","106"
"50600","Cliente 9276","MERCEARIA","131"
"50605","Cliente 6859","SM DE 02 A 04 CHECK-OUT","49"
"50614","Cliente 3100","CONFEITARIA/PANIFICADORA","77"
"50624","Cliente 4740","CLUBE/CANTINA","71"
"50630","Cliente 10472","SM DE 05 A 09 CHECK-OUT","74"
"50633","Cliente 6194","SM DE 02 A 04 CHECK-OUT","60"
"50650","Cliente 265","MERCEARIA","79"
"50652","Cliente 2241","SM DE 02 A 04 CHECK-OUT","152"
"50656","Cliente 7943","SM DE 02 A 04 CHECK-OUT","52"
"50663","Cliente 2625","SM DE 02 A 04 CHECK-OUT","93"
"50693","Cliente 1582","CONFEITARIA/PANIFICADORA","56"
"50700","Cliente 7993","SM DE 02 A 04 CHECK-OUT","123"
"50702","Cliente 10938","SM DE 02 A 04 CHECK-OUT","123"
"50712","Cliente 8128","SM DE 02 A 04 CHECK-OUT","79"
"50715","Cliente 6770","CONFEITARIA/PANIFICADORA","79"
"50718","Cliente 6280","SM DE 02 A 04 CHECK-OUT","25"
"50722","Cliente 7869","SM DE 02 A 04 CHECK-OUT","104"
"50723","Cliente 7751","MERCEARIA","70"
"50735","Cliente 6207","RESTAURANTE","71"
"50750","Cliente 10705","CONFEITARIA/PANIFICADORA","25"
"50765","Cliente 156","SM DE 02 A 04 CHECK-OUT","4"
"50773","Cliente 6662","MERCEARIA","137"
"50796","Cliente 6378","SM DE 02 A 04 CHECK-OUT","122"
"50867","Cliente 10638","SM DE 02 A 04 CHECK-OUT","4"
"50884","Cliente 4552","SM DE 02 A 04 CHECK-OUT","127"
"50903","Cliente 6352","MERCEARIA","4"
"50905","Cliente 3167","CONFEITARIA/PANIFICADORA","28"
"50907","Cliente 7785","CONFEITARIA/PANIFICADORA","153"
"50909","Cliente 10159","CONFEITARIA/PANIFICADORA","52"
"50915","Cliente 1992","CONFEITARIA/PANIFICADORA","79"
"50919","Cliente 7711","ACOUGUE/VERDUREIRA","52"
"50944","Cliente 3525","BARES TRADICIONAIS","160"
"50953","Cliente 7585","SM DE 02 A 04 CHECK-OUT","82"
"50979","Cliente 1231","MERCEARIA","145"
"50991","Cliente 3026","CONFEITARIA/PANIFICADORA","52"
"50998","Cliente 6203","SM DE 02 A 04 CHECK-OUT","79"
"51000","Cliente 4425","CONFEITARIA/PANIFICADORA","79"
"51002","Cliente 4463","SM DE 02 A 04 CHECK-OUT","23"
"51016","Cliente 4270","CONFEITARIA/PANIFICADORA","33"
"51018","Cliente 9228","SM DE 02 A 04 CHECK-OUT","79"
"51022","Cliente 3821","SM DE 02 A 04 CHECK-OUT","77"
"51029","Cliente 2419","SM DE 02 A 04 CHECK-OUT","52"
"51037","Cliente 797","SM DE 02 A 04 CHECK-OUT","144"
"51045","Cliente 4543","CONFEITARIA/PANIFICADORA","24"
"51059","Cliente 848","SM DE 02 A 04 CHECK-OUT","68"
"51078","Cliente 5016","MERCEARIA","24"
"51103","Cliente 10630","RESTAURANTE","47"
"51130","Cliente 835","SM DE 02 A 04 CHECK-OUT","25"
"51139","Cliente 8643","CONVENIENCIA","52"
"51147","Cliente 3490","SM DE 02 A 04 CHECK-OUT","162"
"51151","Cliente 1084","SM DE 02 A 04 CHECK-OUT","29"
"51161","Cliente 9215","CONFEITARIA/PANIFICADORA","79"
"51162","Cliente 5886","SM DE 02 A 04 CHECK-OUT","77"
"51173","Cliente 9097","SM DE 05 A 09 CHECK-OUT","61"
"51183","Cliente 1891","MERCEARIA","17"
"51188","Cliente 8756","MERCEARIA","164"
"51189","Cliente 1980","MERCEARIA","164"
"51202","Cliente 7973","MERCEARIA","71"
"51212","Cliente 2453","SM DE 02 A 04 CHECK-OUT","160"
"51218","Cliente 8404","RESTAURANTE","71"
"51240","Cliente 7697","SM DE 02 A 04 CHECK-OUT","77"
"51246","Cliente 9143","SM DE 10 A 19 CHECK-OUT","40"
"51251","Cliente 2947","RESTAURANTE","9"
"51252","Cliente 2846","MERCEARIA","143"
"51257","Cliente 3277","BARES TRADICIONAIS","96"
"51264","Cliente 9555","ATACADO","153"
"51294","Cliente 1747","SM DE 02 A 04 CHECK-OUT","28"
"51313","Cliente 1199","BARES TRADICIONAIS","58"
"51316","Cliente 1728","SORVETERIA","17"
"51318","Cliente 10839","RESTAURANTE","96"
"51325","Cliente 2665","BARES TRADICIONAIS","164"
"51329","Cliente 10789","MERCEARIA","25"
"51336","Cliente 7691","CONFEITARIA/PANIFICADORA","55"
"51341","Cliente 10207","BARES TRADICIONAIS","52"
"51349","Cliente 1628","CONVENIENCIA","71"
"51355","Cliente 3126","SM DE 02 A 04 CHECK-OUT","79"
"51377","Cliente 10447","CONFEITARIA/PANIFICADORA","79"
"51381","Cliente 9342","ACOUGUE/VERDUREIRA","68"
"51389","Cliente 94","CONVENIENCIA","31"
"51402","Cliente 6138","MERCEARIA","79"
"51404","Cliente 2666","CONFEITARIA/PANIFICADORA","52"
"51429","Cliente 2991","SM DE 05 A 09 CHECK-OUT","52"
"51434","Cliente 5297","AGROPECUARIA/CACA E PESCA","153"
"51452","Cliente 9290","SM DE 02 A 04 CHECK-OUT","104"
"51455","Cliente 10428","CONFEITARIA/PANIFICADORA","128"
"51499","Cliente 2658","CONFEITARIA/PANIFICADORA","25"
"51518","Cliente 10019","SM ACIMA DE 20 CHECK-OUT","25"
"51535","Cliente 10349","MERCEARIA","73"
"51543","Cliente 1286","MERCEARIA","79"
"51551","Cliente 7670","SM DE 02 A 04 CHECK-OUT","75"
"51553","Cliente 7177","BOMBONIERE/BAZAR","125"
"51562","Cliente 2387","CONFEITARIA/PANIFICADORA","31"
"51563","Cliente 2950","SM DE 02 A 04 CHECK-OUT","98"
"51565","Cliente 5554","BOMBONIERE/BAZAR","127"
"51578","Cliente 4642","RESTAURANTE","77"
"51584","Cliente 6191","SM DE 02 A 04 CHECK-OUT","31"
"51592","Cliente 1607","RESTAURANTE","9"
"51594","Cliente 1957","SM DE 05 A 09 CHECK-OUT","79"
"51610","Cliente 7858","CONFEITARIA/PANIFICADORA","79"
"51611","Cliente 9970","RESTAURANTE","68"
"51615","Cliente 3419","MERCEARIA","71"
"51617","Cliente 401","CONFEITARIA/PANIFICADORA","25"
"51620","Cliente 5987","SM DE 02 A 04 CHECK-OUT","79"
"51624","Cliente 10270","ACOUGUE/VERDUREIRA","77"
"51634","Cliente 10314","SM DE 02 A 04 CHECK-OUT","60"
"51641","Cliente 8790","MERCEARIA","137"
"51651","Cliente 6635","BARES TRADICIONAIS","25"
"51677","Cliente 429","CONFEITARIA/PANIFICADORA","144"
"51678","Cliente 2792","MERCEARIA","52"
"51681","Cliente 3562","SM DE 02 A 04 CHECK-OUT","88"
"51683","Cliente 11434","MERCEARIA","88"
"51686","Cliente 6583","CONFEITARIA/PANIFICADORA","88"
"51698","Cliente 3648","SM DE 02 A 04 CHECK-OUT","35"
"51700","Cliente 1513","SM DE 02 A 04 CHECK-OUT","137"
"51702","Cliente 4588","SM DE 05 A 09 CHECK-OUT","52"
"51703","Cliente 10317","BARES TRADICIONAIS","66"
"51706","Cliente 9001","CONFEITARIA/PANIFICADORA","144"
"51708","Cliente 10133","SM DE 02 A 04 CHECK-OUT","144"
"51712","Cliente 1083","MERCEARIA","104"
"51714","Cliente 9773","SM DE 02 A 04 CHECK-OUT","52"
"51718","Cliente 2020","SM DE 02 A 04 CHECK-OUT","52"
"51725","Cliente 3302","CONFEITARIA/PANIFICADORA","164"
"51728","Cliente 4212","ATACADO","52"
"51730","Cliente 2203","SM DE 02 A 04 CHECK-OUT","63"
"51739","Cliente 7462","SM DE 02 A 04 CHECK-OUT","159"
"51756","Cliente 7667","SM DE 02 A 04 CHECK-OUT","104"
"51758","Cliente 5728","SM DE 05 A 09 CHECK-OUT","52"
"51767","Cliente 6730","MERCEARIA","17"
"51771","Cliente 3533","SM DE 02 A 04 CHECK-OUT","71"
"51791","Cliente 9759","SM DE 02 A 04 CHECK-OUT","82"
"51832","Cliente 4366","SM DE 10 A 19 CHECK-OUT","52"
"51860","Cliente 10432","SM DE 02 A 04 CHECK-OUT","137"
"51870","Cliente 107","MERCEARIA","128"
"51876","Cliente 8809","CONFEITARIA/PANIFICADORA","35"
"51882","Cliente 2310","CONFEITARIA/PANIFICADORA","25"
"51891","Cliente 2121","SM DE 02 A 04 CHECK-OUT","84"
